UID,ADDR,SID,ITEM,BSID,IID,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI,COMMENT
17-1-1,17.1Y,17,1EQN,B5,1,Y,16Y,YES,YES,YES,PP1,OBJ,NO,,NO,
22-14-2,22.14X,22,14EQY,B2,14,X,16Y,YES,YES,NO,V,OBJ,NO,,NO,
22-14-1,22.14Y,22,14EQY,B2,14,Y,16Y,YES,YES,NO,V,OBJ,NO,,NO,
208-4-1,208.4Y,208,4EQN,B8,4,Y,1X,YES,YES,YES,V,OBJ,NO,,NO,
208-12-1,208.12Y,208,12EDY,B8,12,Y,1X,YES,NO,YES,V,PP1,NO,,YES,
208-10-1,208.10Y,208,10EQY,B8,10,Y,1X,YES,YES,YES,V,PP1,NO,,NO,
208-12-2,208.12X,208,12EDY,B8,12,X,1X,YES,YES,YES,V,OBJ,NO,,YES,
208-14-1,208.14Y,208,14EQN,B8,14,Y,1X,YES,YES,YES,V,OBJ,NO,,NO,
9-10-2,9.10X,9,10EDN,B1,10,X,1X,YES,YES,YES,V,PP1,NO,,YES,
9-12-1,9.12Y,9,12EQN,B1,12,Y,1X,YES,YES,YES,V,OBJ,NO,,NO,
19-9-2,19.9X,19,9EQY,B7,9,X,1X,,,,,,,,NO,missing PP?
19-3-2,19.3X,19,3EDY,B7,3,X,1X,,,,,,,,,missing PP?
19-11-2,19.11X,19,11EQN,B7,11,X,1X,,,,,,,,,no sentence?
