Filename,Length,isFiller,Condition_Q,Condition_GP,Participant,Item,irt
7.40FQN,9637,True,True,False,7,40,6300
7.1EDY,8956,False,False,True,7,1,4679
7.14EQN,8843,False,True,False,7,14,6101
7.19FDY,6122,True,False,True,7,19,3457
7.10EQY,7709,False,True,True,7,10,4504
7.8EDN,4195,False,False,False,7,8,3389
7.21FDY,4081,True,False,True,7,21,3509
7.46FQN,10090,True,True,False,7,46,6150
7.11EDN,7823,False,False,False,7,11,4079
7.9EDY,5102,False,False,True,7,9,7382
7.15EDY,9183,False,False,True,7,15,5159
7.39FQN,8616,True,True,False,7,39,5687
7.43FQN,7823,True,True,False,7,43,4884
7.34FDN,5328,True,False,False,7,34,4109
7.30FQY,4648,True,True,True,7,30,4979
7.29FDY,8163,True,False,True,7,29,4490
7.24FDY,4308,True,False,True,7,24,4727
7.48FQN,4648,True,True,False,7,48,6150
7.45FDN,8956,True,False,False,7,45,5129
7.22FDY,4875,True,False,True,7,22,6855
7.2EQY,10884,False,True,True,7,2,6780
7.6EQN,8843,False,True,False,7,6,5009
7.17FDY,4535,True,False,True,7,17,5129
7.5EQY,8730,False,True,True,7,5,4979
7.31FQY,4761,True,True,True,7,31,4319
7.28FDY,9070,True,False,True,7,28,5701
7.35FQN,6689,True,True,False,7,35,7949
7.38FQN,8730,True,True,False,7,38,5521
7.25FQY,4875,True,True,True,7,25,8325
7.42FQN,9637,True,True,False,7,42,6135
7.44FDN,12358,True,False,False,7,44,1470
7.23FDY,4421,True,False,True,7,23,4480
7.33FQN,4535,True,True,False,7,33,5975
7.16EQN,10317,False,True,False,7,16,6481
7.12EDY,8503,False,False,True,7,12,4589
7.3EQY,10430,False,True,True,7,3,7385
7.7EDN,8049,False,False,False,7,7,4319
16.33FDN,16780,True,False,False,16,33,1936
16.23FQY,10997,True,True,True,16,23,0
16.44FQN,5895,True,True,False,16,44,6870
16.9EQN,12358,False,True,False,16,9,1825
16.14EDY,5215,False,False,True,16,14,1915
16.6EDY,4988,False,False,True,16,6,2369
16.10EDN,5668,False,False,False,16,10,2518
16.2EDN,5895,False,False,False,16,2,1245
16.42FDN,5328,True,False,False,16,42,2879
16.25FDY,24489,True,False,True,16,25,270
16.38FDN,7142,True,False,False,16,38,3329
16.35FDN,13718,True,False,False,16,35,0
16.28FQY,5102,True,True,True,16,28,0
16.31FDY,15986,True,False,True,16,31,2639
16.22FQY,14965,True,True,True,16,22,1255
16.45FQN,5215,True,True,False,16,45,0
16.48FDN,16439,True,False,False,16,48,3119
16.5EDN,5555,False,False,False,16,5,2165
16.17FQY,11678,True,True,True,16,17,3299
16.13EQY,5328,False,True,True,16,13,2538
16.7EQY,6235,False,True,True,16,7,1590
16.3EDN,5555,False,False,False,16,3,3269
16.24FQY,18707,True,True,True,16,24,2699
16.29FQY,5895,True,True,True,16,29,0
16.34FQN,21541,True,True,False,16,34,270
16.30FDY,18027,True,False,True,16,30,225
16.43FDN,4421,True,False,False,16,43,2579
16.39FDN,4195,True,False,False,16,39,1500
16.19FQY,4988,True,True,True,16,19,2549
16.46FDN,7029,True,False,False,16,46,2259
16.21FQY,17573,True,True,True,16,21,1020
16.40FDN,5328,True,False,False,16,40,3539
16.37FDN,13038,True,False,False,16,37,905
16.27FQY,16553,True,True,True,16,27,0
16.12EQN,6009,False,True,False,16,12,2589
16.16EDY,4761,False,False,True,16,16,1101
16.4EDY,6235,False,False,True,16,4,2250
16.18FQY,6122,True,True,True,16,18,2999
16.11EQY,5215,False,True,True,16,11,1255
16.15EQN,5782,False,True,False,16,15,720
16.20FQY,15873,True,True,True,16,20,1972
16.47FDN,4535,True,False,False,16,47,1440
16.26FQY,15419,True,True,True,16,26,2280
16.36FQN,18707,True,True,False,16,36,1290
16.32FDY,12585,True,False,True,16,32,1470
16.41FDN,5668,True,False,False,16,41,1858
16.8EQY,23922,False,True,True,16,8,2699
16.1EQN,6122,False,True,False,16,1,3031
6.20FQY,6462,True,True,True,6,20,11501
6.6EDN,5895,False,False,False,6,6,1905
6.47FDN,13492,True,False,False,6,47,9825
6.2EDY,5895,False,False,True,6,2,11159
6.18FQY,18367,True,True,True,6,18,2195
6.13EQN,16213,False,True,False,6,13,12384
6.9EQY,21201,False,True,True,6,9,2022
6.26FQY,5555,True,True,True,6,26,11164
6.32FDY,5555,True,False,True,6,32,6875
6.36FQN,5442,True,True,False,6,36,13721
6.41FDN,15759,True,False,False,6,41,12228
6.46FDN,16893,True,False,False,6,46,12511
6.3EDY,6575,False,False,True,6,3,6185
6.7EQN,5442,False,True,False,6,7,14741
6.21FQY,5328,True,True,True,6,21,13307
6.10EDY,17913,False,False,True,6,10,12808
6.19FQY,13945,True,True,True,6,19,10261
6.14EDN,13718,False,False,False,6,14,9129
6.40FDN,17913,True,False,False,6,40,13077
6.5EDY,6122,False,False,True,6,5,9242
6.37FDN,6462,True,False,False,6,37,12041
6.27FQY,6122,True,True,True,6,27,10051
6.17FQY,5895,True,True,True,6,17,9105
6.45FQN,28571,True,True,False,6,45,24082
6.4EDN,5668,False,False,False,6,4,13497
6.22FQY,5895,True,True,True,6,22,11144
6.48FDN,5895,True,False,False,6,48,13034
6.29FQY,14965,True,True,True,6,29,10049
6.24FQY,5102,True,True,True,6,24,10349
6.30FDY,5328,True,False,True,6,30,10757
6.34FQN,7142,True,True,False,6,34,11221
6.43FDN,10884,True,False,False,6,43,8068
6.39FDN,10430,True,False,False,6,39,6360
6.15EQY,14852,False,True,True,6,15,10304
6.11EQN,17800,False,True,False,6,11,13804
6.12EQY,18934,False,True,True,6,12,15221
6.16EDN,19047,False,False,False,6,16,12667
6.33FDN,5668,True,False,False,6,33,7438
6.8EQN,14625,False,True,False,6,8,9968
6.1EQY,6122,False,True,True,6,1,13141
6.44FQN,14965,True,True,False,6,44,11691
6.23FQY,4761,True,True,True,6,23,13610
6.25FDY,6462,True,False,True,6,25,15401
6.42FDN,15079,True,False,False,6,42,10171
6.35FDN,5102,True,False,False,6,35,5641
6.38FDN,15306,True,False,False,6,38,10707
6.28FQY,23015,True,True,True,6,28,19098
6.31FDY,5215,True,False,True,6,31,11904
17.31FQY,14172,True,True,True,17,31,0
17.28FDY,5328,True,False,True,17,28,0
17.38FQN,6802,True,True,False,17,38,0
17.4EQY,9183,False,True,True,17,4,0
17.35FQN,9863,True,True,False,17,35,0
17.42FQN,6802,True,True,False,17,42,0
17.25FQY,13718,True,True,True,17,25,0
17.10EQN,8276,False,True,False,17,10,0
17.14EQY,5328,False,True,True,17,14,0
17.23FDY,7596,True,False,True,17,23,0
17.44FDN,6916,True,False,False,17,44,480
17.33FQN,11564,True,True,False,17,33,0
17.39FQN,5555,True,True,False,17,39,0
17.1EDN,12018,False,False,False,17,1,0
17.43FQN,5895,True,True,False,17,43,0
17.30FQY,14512,True,True,True,17,30,0
17.34FDN,11678,True,False,False,17,34,0
17.8EDY,6916,False,False,True,17,8,0
17.24FDY,12698,True,False,True,17,24,0
17.29FDY,7256,True,False,True,17,29,0
17.13EDY,5215,False,False,True,17,13,0
17.17FDY,11111,True,False,True,17,17,0
17.48FQN,14058,True,True,False,17,48,0
17.22FDY,10204,True,False,True,17,22,0
17.45FDN,5442,True,False,False,17,45,0
17.16EQY,5215,False,True,True,17,16,210
17.12EDN,6349,False,False,False,17,12,0
