STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST
OBJ,YES,11-6-2,FALSE,YES,V,,OBJ,6,NO,Y,TRUE,YES,11,6EQN,11.6EQN_Y,2,NO,OBJ > V,1Y
OBJ,YES,11-7-1,FALSE,NO,NONE,PP1,OBJ,7,NO,X,FALSE,NO,11,7EDN,11.7EDN_X,1,YES,OBJ ,1Y
OBJ,YES,11-7-2,FALSE,NO,NONE,,OBJ,7,NO,Y,FALSE,NO,11,7EDN,11.7EDN_Y,2,NO,OBJ ,1Y
OBJ,YES,11-8-1,FALSE,NO,PP1,,OBJ > PP1,8,YES,X,FALSE,NO,11,8EDN,11.8EDN_X,1,NO,OBJ > PP1,1Y
PP1,YES,11-8-2,FALSE,NO,OBJ,,PP1 > OBJ,8,YES,Y,FALSE,NO,11,8EDN,11.8EDN_Y,2,NO,PP1 > OBJ,1Y
OBJ,YES,12-1-1,FALSE,NO,NONE,,OBJ,1,NO,X,TRUE,YES,12,1EQN,1EQN,1,NO,OBJ ,16X
PP1,YES,12-1-2,FALSE,NO,OBJ,,PP1 > OBJ,1,YES,Y,TRUE,YES,12,1EQN,1EQN,2,NO,PP1 > OBJ,16X
PP1,NO,12-10-1,FALSE,NO,NONE,,PP1,10,YES,X,FALSE,NO,12,10EDN,10EDN,1,NO,PP1 ,16X
OBJ,YES,12-10-2,FALSE,NO,NONE,,OBJ,10,NO,Y,FALSE,NO,12,10EDN,10EDN,2,NO,OBJ ,16X
PP1,NO,12-11-1,TRUE,NO,NONE,,PP1,11,YES,X,TRUE,YES,12,11EQY,11EQY,1,NO,PP1 ,16X
PP1,YES,12-11-2,TRUE,NO,OBJ,,PP1 > OBJ,11,YES,Y,TRUE,YES,12,11EQY,11EQY,2,NO,PP1 > OBJ,16X
PP1,NO,12-12-1,FALSE,NO,NONE,,PP1,12,YES,X,TRUE,YES,12,12EQN,12EQN,1,NO,PP1 ,16X
PP1,YES,12-12-2,FALSE,NO,OBJ,,PP1 > OBJ,12,YES,Y,TRUE,YES,12,12EQN,12EQN,2,NO,PP1 > OBJ,16X
PP1,NO,12-13-1,TRUE,NO,NONE,,PP1,13,YES,X,TRUE,YES,12,13EQY,13EQY,1,NO,PP1 ,16X
PP1,YES,12-13-2,TRUE,NO,OBJ,,PP1 > OBJ,13,YES,Y,TRUE,YES,12,13EQY,13EQY,2,NO,PP1 > OBJ,16X
PP1,YES,12-14-1,TRUE,NO,OBJ,,PP1 > OBJ,14,YES,X,FALSE,NO,12,14EDY,14EDY,1,NO,PP1 > OBJ,16X
PP1,YES,12-14-2,TRUE,NO,OBJ,,PP1 > OBJ,14,YES,Y,FALSE,NO,12,14EDY,14EDY,2,NO,PP1 > OBJ,16X
OBJ,YES,12-15-1,FALSE,NO,PP1,,OBJ > PP1,15,YES,X,TRUE,YES,12,15EQN,15EQN,1,NO,OBJ > PP1,16X
OBJ,YES,12-15-2,FALSE,NO,PP1,,OBJ > PP1,15,YES,Y,TRUE,YES,12,15EQN,15EQN,2,NO,OBJ > PP1,16X
PP1,NO,12-16-1,TRUE,YES,V,,PP1,16,YES,X,FALSE,NO,12,16EDY,16EDY,1,NO,PP1 > V,16X
PP1,YES,12-16-2,TRUE,NO,OBJ,,PP1 > OBJ,16,YES,Y,FALSE,NO,12,16EDY,16EDY,2,NO,PP1 > OBJ,16X
