filename,participant,GP_condition,Q_condition,item,inter_reading,is_filler
11.34FDN,11,False,False,34,7600,True
11.35FQN,11,False,True,35,1299,True
11.36FDN,11,False,False,36,4500,True
11.37FQN,11,False,True,37,2900,True
11.39FQN,11,False,True,39,4900,True
11.3EQY,11,True,True,3,7250,False
11.41FQN,11,False,True,41,1600,True
11.42FQN,11,False,True,42,4850,True
11.43FQN,11,False,True,43,8199,True
11.44FDN,11,False,False,44,-1,True
11.45FDN,11,False,False,45,2949,True
11.47FQN,11,False,True,47,5350,True
11.48FQN,11,False,True,48,1849,True
11.4EQN,11,False,True,4,1349,False
11.5EQY,11,True,True,5,7400,False
11.6EQN,11,False,True,6,7000,False
11.7EDN,11,False,False,7,2349,False
11.8EDN,11,False,False,8,2950,False
12.10EDN,12,False,False,10,-1,False
12.11EQY,12,True,True,11,599,False
12.12EQN,12,False,True,12,1649,False
12.13EQY,12,True,True,13,2700,False
12.14EDY,12,True,False,14,2450,False
12.15EQN,12,False,True,15,-1,False
12.16EDY,12,True,False,16,1850,False
12.17FQY,12,True,True,17,1199,True
12.18FQY,12,True,True,18,-1,True
12.19FQY,12,True,True,19,4699,True
12.1EQN,12,False,True,1,1199,False
12.20FQY,12,True,True,20,4200,True
12.21FQY,12,True,True,21,3700,True
12.22FQY,12,True,True,22,12100,True
12.23FQY,12,True,True,23,1550,True
12.24FQY,12,True,True,24,-1,True
12.25FDY,12,True,False,25,-1,True
12.26FQY,12,True,True,26,549,True
12.27FQY,12,True,True,27,1100,True
12.28FQY,12,True,True,28,1249,True
12.29FQY,12,True,True,29,2300,True
12.2EDN,12,False,False,2,6650,False
12.30FDY,12,True,False,30,1200,True
12.31FDY,12,True,False,31,1249,True
12.32FDY,12,True,False,32,1250,True
12.33FDN,12,False,False,33,1649,True
12.34FQN,12,False,True,34,7700,True
12.35FDN,12,False,False,35,549,True
12.36FQN,12,False,True,36,1099,True
12.37FDN,12,False,False,37,-1,True
12.38FDN,12,False,False,38,2250,True
12.39FDN,12,False,False,39,3050,True
12.3EDN,12,False,False,3,750,False
12.40FDN,12,False,False,40,7700,True
12.41FDN,12,False,False,41,849,True
12.42FDN,12,False,False,42,2450,True
12.43FDN,12,False,False,43,1150,True
12.44FQN,12,False,True,44,2600,True
12.45FQN,12,False,True,45,1600,True
12.46FDN,12,False,False,46,900,True
12.47FDN,12,False,False,47,2050,True
12.48FDN,12,False,False,48,3400,True
12.4EDY,12,True,False,4,799,False
12.5EDN,12,False,False,5,1950,False
12.6EDY,12,True,False,6,1199,False
12.7EQY,12,True,True,7,4000,False
12.8EQY,12,True,True,8,10449,False
12.9EQN,12,False,True,9,7050,False
13.10EQN,13,False,True,10,8500,False
13.11EDY,13,True,False,11,4150,False
13.12EDN,13,False,False,12,1099,False
13.13EDY,13,True,False,13,4000,False
13.14EQY,13,True,True,14,2500,False
13.15EDN,13,False,False,15,1299,False
13.16EQY,13,True,True,16,10350,False
13.17FDY,13,True,False,17,1399,True
13.18FDY,13,True,False,18,6250,True
13.19FDY,13,True,False,19,2400,True
13.1EDN,13,False,False,1,13549,False
