isFiller,Condition_Q,Condition_GP,Participant,Item,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail
TRUE,TRUE,FALSE,203,43,637.88,203.43FQN,3540,630,5215.38,2250,2947.88,7.88
TRUE,TRUE,FALSE,203,39,1837.88,203.39FQN,2970,1830,5102,2190,2947.88,7.88
TRUE,FALSE,TRUE,203,29,1371.88,203.29FDY,5130,930,6349.25,3840,4761.88,441.88
TRUE,FALSE,TRUE,203,24,731.38,203.24FDY,3450,720,4195,2580,3401.38,11.38
FALSE,TRUE,FALSE,203,4,1671.5,203.4EQN,3360,1650,6235.88,2790,3741.5,21.5
TRUE,TRUE,TRUE,203,30,994.75,203.30FQY,4470,990,5668.88,2610,3514.75,4.75
TRUE,FALSE,FALSE,203,34,1871.38,203.34FDN,3870,1650,5782.38,2310,3401.38,221.38
FALSE,TRUE,TRUE,205,4,15012.12,205.4EQY,4050,13830,18707.5,3600,5442.12,1182.12
FALSE,TRUE,TRUE,205,16,7368.75,205.16EQY,3270,5700,9864,3060,5328.75,1668.75
FALSE,FALSE,FALSE,205,12,8628.75,205.12EDN,3510,7380,11678,3540,5328.75,1248.75
TRUE,FALSE,TRUE,205,27,16048.5,205.27FDY,3480,15360,19387.75,3420,4648.5,688.5
TRUE,TRUE,FALSE,205,40,10475.5,205.40FQN,4260,9450,14739.25,4020,5555.5,1025.5
TRUE,TRUE,FALSE,205,37,9531.88,205.37FQN,3300,8400,12811.75,3090,4761.88,1131.88
TRUE,FALSE,TRUE,205,21,5135.12,205.21FDY,3570,4440,8843.5,3360,4535.12,695.12
TRUE,TRUE,FALSE,205,46,10601.75,205.46FQN,4050,9990,15192.75,3210,4421.75,611.75
TRUE,FALSE,TRUE,205,19,6198.38,205.19FDY,2580,5430,8616.75,2670,4308.38,768.38
FALSE,FALSE,TRUE,205,8,12095.5,205.8EDY,4290,10020,15192.75,3000,5555.5,2075.5
FALSE,FALSE,FALSE,205,1,5762.0,205.1EDN,3570,5130,9183.62,3660,5102,632
TRUE,TRUE,FALSE,205,41,12062.0,205.41FQN,3480,10650,15646.25,3210,5102,1412
TRUE,FALSE,TRUE,205,26,12955.38,205.26FDY,3930,11730,16893.38,3450,5215.38,1225.38
TRUE,TRUE,TRUE,205,32,6985.38,205.32FQY,3060,5550,9864,3000,5215.38,1435.38
TRUE,FALSE,FALSE,205,36,13538.62,205.36FDN,3000,12750,16213.13,3540,4988.62,788.62
TRUE,TRUE,FALSE,205,47,15098.62,205.47FQN,3270,13860,18140.62,3180,4988.62,1238.62
TRUE,FALSE,TRUE,205,20,14112.12,205.20FDY,4320,13050,18707.5,3630,5442.12,1062.12
FALSE,FALSE,FALSE,205,15,1655.12,205.15EDN,4200,750,15986.38,3000,4535.12,905.12
TRUE,FALSE,TRUE,205,18,5832.12,205.18FDY,3840,4800,9297,3360,5442.12,1032.12
FALSE,FALSE,TRUE,205,11,7858.5,205.11EDY,4170,6690,11111.12,2970,4648.5,1168.5
TRUE,FALSE,TRUE,205,28,10251.88,205.28FDY,3240,9720,13945.62,3540,4761.88,531.88
TRUE,TRUE,TRUE,205,31,10029.12,205.31FQY,3930,8910,13605.5,3510,6009.12,1119.12
TRUE,TRUE,FALSE,205,42,17072.0,205.42FQN,3840,16260,21088.38,3540,5102,812
TRUE,TRUE,TRUE,205,25,9192.12,205.25FQY,3630,8220,12925.12,3630,5442.12,972.12
TRUE,TRUE,FALSE,205,38,9542.0,205.38FQN,4260,8340,14172.38,3330,5102,1202
TRUE,TRUE,FALSE,205,35,16622.0,205.35FQN,2700,15150,19501.12,2940,5102,1472
FALSE,TRUE,FALSE,205,10,6788.62,205.10EQN,3840,5850,10657.62,3300,4988.62,938.62
FALSE,TRUE,TRUE,205,6,11725.38,205.6EQY,3840,10590,15079.38,3450,5215.38,1135.38
FALSE,TRUE,TRUE,205,14,11275.38,205.14EQY,4470,9960,15532.88,3360,5215.38,1315.38
FALSE,TRUE,FALSE,205,2,8045.12,205.2EQN,3690,7200,11678,3150,4535.12,845.12
FALSE,FALSE,FALSE,205,9,9782.0,205.9EDN,3210,8730,12698.38,3360,5102,1052
TRUE,FALSE,TRUE,205,23,11818.5,205.23FDY,3510,11040,15419.5,2910,4648.5,778.5
TRUE,FALSE,FALSE,205,44,11038.88,205.44FDN,3060,9960,14059,3600,5668.88,1078.88
TRUE,TRUE,FALSE,205,33,12785.12,205.33FQN,3240,11790,16326.5,3030,4535.12,995.12
TRUE,TRUE,FALSE,205,43,8442.12,205.43FQN,2730,6810,11678,2910,5442.12,1632.12
TRUE,TRUE,FALSE,205,39,2538.75,205.39FQN,5730,1050,24376.38,3000,5328.75,1488.75
TRUE,FALSE,TRUE,205,24,6371.75,205.24FDY,2820,5640,9410.38,3090,4421.75,731.75
TRUE,FALSE,TRUE,205,29,11979.12,205.29FDY,3870,9990,14739.25,3540,6009.12,1989.12
TRUE,TRUE,TRUE,205,30,13515.75,205.30FQY,3600,12090,16213.13,3660,5895.75,1425.75
TRUE,FALSE,FALSE,205,34,6895.38,205.34FDN,3540,6030,11791.38,3540,5215.38,865.38
FALSE,FALSE,TRUE,205,7,18255.75,205.7EDY,3510,17010,21542,3720,5895.75,1245.75
FALSE,TRUE,FALSE,205,3,7818.75,205.3EQN,3420,6450,11111.12,3480,5328.75,1368.75
FALSE,TRUE,FALSE,205,5,7148.62,205.5EQN,3060,5850,9750.62,3090,4988.62,1298.62
TRUE,FALSE,TRUE,205,17,9965.12,205.17FDY,3630,9270,13151.88,3360,4535.12,695.12
FALSE,FALSE,TRUE,205,13,9492.12,205.13EDY,4440,8730,14059,3150,5442.12,762.12
TRUE,TRUE,FALSE,205,48,9615.25,205.48FQN,3810,8910,13605.5,3510,4875.25,705.25
TRUE,FALSE,TRUE,205,22,11968.5,205.22FDY,3210,11340,14966,3450,4648.5,628.5
TRUE,FALSE,FALSE,205,45,6888.75,205.45FDN,3570,5670,10430.88,3450,5328.75,1218.75
TRUE,FALSE,FALSE,20,33,7335.25,20.33FDN,2730,6000,11337.88,2820,4875.25,1335.25
TRUE,TRUE,TRUE,20,23,9965.12,20.23FQY,3420,9090,14739.25,3120,4535.12,875.12
TRUE,TRUE,FALSE,20,44,10288.5,20.44FQN,3510,9570,14966,3240,4648.5,718.5
TRUE,FALSE,FALSE,20,38,9378.75,20.38FDN,3240,8040,13038.5,3240,5328.75,1338.75
TRUE,FALSE,FALSE,20,35,12044.88,20.35FDN,3000,11670,16326.5,2850,3854.88,374.88
TRUE,FALSE,FALSE,20,42,6815.12,20.42FDN,3270,6390,11564.62,3360,4535.12,425.12
TRUE,FALSE,TRUE,20,25,11585.12,20.25FDY,3840,11100,16326.5,3600,4535.12,485.12
TRUE,FALSE,TRUE,20,31,8758.88,20.31FDY,3450,6990,13378.62,2850,5668.88,1768.88
TRUE,TRUE,TRUE,20,28,8495.12,20.28FQY,3330,8070,13832.25,3450,4535.12,425.12
FALSE,FALSE,TRUE,20,14,8788.88,20.14EDY,3510,7290,12698.38,3270,5668.88,1498.88
