filename,participant,GP_condition,Q_condition,item,inter_reading,is_filler
206.33FDN,206,False,False,33,0,True
206.34FQN,206,False,True,34,1900,True
206.35FDN,206,False,False,35,400,True
206.36FQN,206,False,True,36,350,True
206.37FDN,206,False,False,37,800,True
206.38FDN,206,False,False,38,450,True
206.39FDN,206,False,False,39,550,True
206.3EDY,206,True,False,3,350,False
206.40FDN,206,False,False,40,1150,True
206.41FDN,206,False,False,41,3150,True
206.42FDN,206,False,False,42,2100,True
206.43FDN,206,False,False,43,0,True
206.44FQN,206,False,True,44,1900,True
206.45FQN,206,False,True,45,1250,True
206.46FDN,206,False,False,46,400,True
206.47FDN,206,False,False,47,400,True
206.48FDN,206,False,False,48,450,True
206.4EDN,206,False,False,4,750,False
206.5EDY,206,True,False,5,900,False
206.6EDN,206,False,False,6,850,False
206.7EQN,206,False,True,7,0,False
206.8EQN,206,False,True,8,0,False
206.9EQY,206,True,True,9,350,False
207.10EQY,207,True,True,10,1650,False
207.11EDN,207,False,False,11,1750,False
207.12EDY,207,True,False,12,4200,False
207.13EDN,207,False,False,13,800,False
207.14EQN,207,False,True,14,1800,False
207.15EDY,207,True,False,15,2350,False
207.16EQN,207,False,True,16,1850,False
207.17FDY,207,True,False,17,1550,True
207.18FDY,207,True,False,18,1800,True
207.19FDY,207,True,False,19,1350,True
207.1EDY,207,True,False,1,1950,False
207.20FDY,207,True,False,20,1900,True
207.21FDY,207,True,False,21,1350,True
207.22FDY,207,True,False,22,1900,True
207.23FDY,207,True,False,23,1450,True
207.24FDY,207,True,False,24,2650,True
207.25FQY,207,True,True,25,2050,True
207.26FDY,207,True,False,26,2800,True
207.27FDY,207,True,False,27,2450,True
207.28FDY,207,True,False,28,1500,True
207.29FDY,207,True,False,29,1650,True
207.2EQY,207,True,True,2,2150,False
207.30FQY,207,True,True,30,1100,True
207.31FQY,207,True,True,31,2500,True
207.32FQY,207,True,True,32,1900,True
207.33FQN,207,False,True,33,1550,True
207.34FDN,207,False,False,34,1850,True
207.35FQN,207,False,True,35,2800,True
207.36FDN,207,False,False,36,2150,True
207.37FQN,207,False,True,37,3000,True
207.38FQN,207,False,True,38,1700,True
207.39FQN,207,False,True,39,1950,True
207.3EQY,207,True,True,3,1600,False
207.40FQN,207,False,True,40,1850,True
207.41FQN,207,False,True,41,1700,True
207.42FQN,207,False,True,42,2900,True
207.43FQN,207,False,True,43,1300,True
207.44FDN,207,False,False,44,2250,True
207.45FDN,207,False,False,45,1950,True
207.46FQN,207,False,True,46,1150,True
207.47FQN,207,False,True,47,1650,True
207.48FQN,207,False,True,48,3200,True
207.4EQN,207,False,True,4,1800,False
207.5EQY,207,True,True,5,1650,False
207.6EQN,207,False,True,6,2400,False
207.7EDN,207,False,False,7,2550,False
207.8EDN,207,False,False,8,2250,False
207.9EDY,207,True,False,9,3200,False
208.10EDN,208,False,False,10,1800,False
208.11EQY,208,True,True,11,850,False
208.12EQN,208,False,True,12,3050,False
208.13EQY,208,True,True,13,1250,False
208.14EDY,208,True,False,14,1050,False
208.15EQN,208,False,True,15,1500,False
208.16EDY,208,True,False,16,1450,False
208.17FQY,208,True,True,17,1700,True
208.18FQY,208,True,True,18,3200,True
208.19FQY,208,True,True,19,2450,True
208.1EQN,208,False,True,1,1300,False
208.20FQY,208,True,True,20,1450,True
208.21FQY,208,True,True,21,2200,True
208.22FQY,208,True,True,22,1100,True
208.23FQY,208,True,True,23,1850,True
208.24FQY,208,True,True,24,1400,True
208.25FDY,208,True,False,25,1250,True
208.26FQY,208,True,True,26,1350,True
208.27FQY,208,True,True,27,1250,True
208.28FQY,208,True,True,28,1650,True
208.29FQY,208,True,True,29,1750,True
208.2EDN,208,False,False,2,1800,False
208.30FDY,208,True,False,30,2050,True
208.31FDY,208,True,False,31,1050,True
208.32FDY,208,True,False,32,1250,True
208.33FDN,208,False,False,33,1550,True
208.34FQN,208,False,True,34,2100,True
208.35FDN,208,False,False,35,1250,True
208.36FQN,208,False,True,36,2000,True
208.37FDN,208,False,False,37,1600,True
208.38FDN,208,False,False,38,1950,True
208.39FDN,208,False,False,39,1650,True
208.3EDN,208,False,False,3,1900,False
208.40FDN,208,False,False,40,1800,True
208.41FDN,208,False,False,41,1700,True
208.42FDN,208,False,False,42,2000,True
208.43FDN,208,False,False,43,1350,True
208.44FQN,208,False,True,44,2400,True
208.45FQN,208,False,True,45,1750,True
208.46FDN,208,False,False,46,1900,True
208.47FDN,208,False,False,47,1950,True
208.48FDN,208,False,False,48,1750,True
208.4EDY,208,True,False,4,1400,False
208.5EDN,208,False,False,5,1000,False
208.6EDY,208,True,False,6,1700,False
208.7EQY,208,True,True,7,1800,False
208.8EQY,208,True,True,8,1600,False
208.9EQN,208,False,True,9,2500,False
209.10EQN,209,False,True,10,900,False
209.11EDY,209,True,False,11,1450,False
209.12EDN,209,False,False,12,350,False
209.13EDY,209,True,False,13,1450,False
209.14EQY,209,True,True,14,1150,False
209.15EDN,209,False,False,15,1100,False
209.16EQY,209,True,True,16,1600,False
209.17FDY,209,True,False,17,1350,True
209.18FDY,209,True,False,18,2150,True
209.19FDY,209,True,False,19,850,True
209.1EDN,209,False,False,1,750,False
209.20FDY,209,True,False,20,1300,True
209.21FDY,209,True,False,21,950,True
209.22FDY,209,True,False,22,1300,True
209.23FDY,209,True,False,23,1000,True
209.24FDY,209,True,False,24,1250,True
209.25FQY,209,True,True,25,850,True
209.26FDY,209,True,False,26,1250,True
209.27FDY,209,True,False,27,350,True
209.28FDY,209,True,False,28,1950,True
209.29FDY,209,True,False,29,1550,True
209.2EQN,209,False,True,2,1500,False
209.30FQY,209,True,True,30,1300,True
209.31FQY,209,True,True,31,1650,True
209.32FQY,209,True,True,32,1400,True
209.33FQN,209,False,True,33,1150,True
209.34FDN,209,False,False,34,1250,True
209.35FQN,209,False,True,35,1650,True
209.36FDN,209,False,False,36,1000,True
209.37FQN,209,False,True,37,1350,True
209.38FQN,209,False,True,38,1550,True
209.39FQN,209,False,True,39,1400,True
