"","Speaker ID","Recording ID","X or Y","First Recording For Speaker","Break_V","Break_OBJ","Break_PP1","Strongest","Weakest","Struggle","Struggle_start","Q_intonation","Silence after reading (Y/R1)","Silence before reading (X/R2)","Q_condition","GP_condition","Reading","item","rec"
"123",7,"7.11EDN_X","X","16X","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","N","1","11","11EDN"
"124",7,"7.12EDY_Y","Y","16X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","2","12","12EDY"
"125",7,"7.13EDN_X","X","16X","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","N","1","13","13EDN"
"126",7,"7.14EQN_Y","Y","16X","NO","YES","YES","PP1","OBJ","NO",NA,"YES",NA,NA,"Q","N","2","14","14EQN"
"127",7,"7.15EDY_X","X","16X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","1","15","15EDY"
"128",7,"7.16EQN_Y","Y","16X","NO","YES","YES","OBJ","PP1","NO",NA,"YES",NA,NA,"Q","N","2","16","16EQN"
"129",9,"9.1EDN_Y","Y","16Y","NO","YES","NO","OBJ","NONE","NO",NA,"NO",NA,NA,"D","N","2","1","1EDN"
"130",9,"9.2EQN_X","X","16Y","NO","NO","YES","PP1","NONE","YES","PP2","YES",NA,NA,"Q","N","1","2","2EQN"
"131",9,"9.3EQN_Y","Y","16Y","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","N","2","3","3EQN"
"132",9,"9.4EQY_X","X","16Y","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"Q","Y","1","4","4EQY"
"133",9,"9.5EQN_Y","Y","16Y","NO","YES","NO","OBJ","NONE","NO",NA,"YES",NA,NA,"Q","N","2","5","5EQN"
"134",9,"9.6EQY_X","X","16Y","NO","NO","YES","PP1","NONE","YES","PP2","YES",NA,NA,"Q","Y","1","6","6EQY"
"135",9,"9.7EDY_Y","Y","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","Y","2","7","7EDY"
"136",9,"9.8EDY_X","X","16Y","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","1","8","8EDY"
"137",9,"9.9EDN_Y","Y","16Y","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"D","N","2","9","9EDN"
"138",9,"9.10EQN_X","X","16Y","NO","NO","YES","PP1","NONE","YES","PP2","NO",NA,NA,"Q","N","1","10","10EQN"
"139",9,"9.11EDY_Y","Y","16Y","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"D","Y","2","11","11EDY"
"140",9,"9.12EDN_X","X","16Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","N","1","12","12EDN"
"141",9,"9.13EDY_Y","Y","16Y","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","2","13","13EDY"
"142",9,"9.14EQY_X","X","16Y","NO","NO","YES","PP1","NONE","YES","PP2","NO",NA,NA,"Q","Y","1","14","14EQY"
"143",9,"9.15EDN_Y","Y","16Y","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"D","N","2","15","15EDN"
"144",9,"9.16EQY_X","X","16Y","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","16","16EQY"
"145",11,"11.1EDY_Y","Y","1Y","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","2","1","1EDY"
"146",11,"11.3EQY_X","X","1Y","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","3","3EQY"
"147",11,"11.4EQN_Y","Y","1Y","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","N","2","4","4EQN"
"148",11,"11.5EQY_X","X","1Y","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","5","5EQY"
"149",11,"11.6EQN_Y","Y","1Y","YES","YES","NO","OBJ","V","NO",NA,"YES",NA,NA,"Q","N","2","6","6EQN"
"150",11,"11.7EDN_X","X","1Y","NO","YES","NO","OBJ","NONE","YES","PP1","NO",NA,NA,"D","N","1","7","7EDN"
"151",11,"11.8EDN_Y","Y","1Y","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","N","2","8","8EDN"
"152",11,"11.10EQY_X","X","1Y","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"Q","Y","1","10","10EQY"
"153",11,"11.11EDN_Y","Y","1Y","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","11","11EDN"
"154",11,"11.15EDY_X","X","1Y","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","Y","1","15","15EDY"
"155",11,"11.16EQN_Y","Y","1Y","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","N","2","16","16EQN"
"156",13,"13.16EQY_X","X","16X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","16","16EQY"
"157",13,"13.15EDN_Y","Y","16X","NO","YES","YES","OBJ","PP1","NO",NA,"NO",NA,NA,"D","N","2","15","15EDN"
"158",13,"13.14EQY_X","X","16X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","14","14EQY"
"159",13,"13.13EDY_Y","Y","16X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","2","13","13EDY"
"160",13,"13.12EDN_X","X","16X","NO","NO","YES","PP1","NONE","NO",NA,"NO",NA,NA,"D","N","1","12","12EDN"
"161",13,"13.11EDY_Y","Y","16X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","2","11","11EDY"
"162",13,"13.10EQN_X","X","16X","YES","NO","YES","PP1","V","NO",NA,"YES",NA,NA,"Q","N","1","10","10EQN"
"163",13,"13.9EDN_Y","Y","16X","NO","YES","YES","NONE","NONE","NO",NA,"NO",NA,NA,"D","N","2","9","9EDN"
"164",13,"13.8EDY_X","X","16X","NO","YES","YES","OBJ","PP1","YES","PP1","NO",NA,NA,"D","Y","1","8","8EDY"
"165",13,"13.7EDY_Y","Y","16X","NO","YES","YES","PP1","OBJ","NO",NA,"NO",NA,NA,"D","Y","2","7","7EDY"
"166",13,"13.6EQY_X","X","16X","NO","NO","YES","PP1","NONE","NO",NA,"YES",NA,NA,"Q","Y","1","6","6EQY"
"167",13,"13.5EQN_Y","Y","16X","NO","YES","NO","OBJ","NONE","NO",NA,"YES",NA,NA,"Q","N","2","5","5EQN"
"168",13,"13.4EQY_X","X","16X","NO","YES","YES","PP1","OBJ","YES","PP2","NO",NA,NA,"Q","Y","1","4","4EQY"
"169",13,"13.3EQN_Y","Y","16X","NO","YES","NO","OBJ","NONE","YES","PP2","YES",NA,NA,"Q","N","2","3","3EQN"
"170",13,"13.2EQN_X","X","16X","NO","NO","YES","PP1","NONE","NO","START","YES",NA,NA,"Q","N","1","2","2EQN"
