UID,SID,IID,Reading,Condition_GP,Condition_Q,REC_CLEAN,REC,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI
12-14-2,12,14,2,TRUE,FALSE,14EDY,14EDY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
12-15-1,12,15,1,FALSE,TRUE,15EQN,15EQN,X,16X,NO,YES,YES,OBJ,PP1,NO,,YES
12-15-2,12,15,2,FALSE,TRUE,15EQN,15EQN,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES
12-16-1,12,16,1,TRUE,FALSE,16EDY,16EDY,X,16X,YES,NO,YES,PP1,V,NO,,NO
12-16-2,12,16,2,TRUE,FALSE,16EDY,16EDY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
12-2-1,12,2,1,FALSE,FALSE,2EDN,2EDN,X,16X,NO,NO,YES,PP1,NONE,NO,,NO
12-2-2,12,2,2,FALSE,FALSE,2EDN,2EDN,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO
12-3-1,12,3,1,FALSE,FALSE,3EDN,3EDN,X,16X,NO,YES,NO,OBJ,NONE,NO,,NO
12-3-2,12,3,2,FALSE,FALSE,3EDN,3EDN,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO
12-4-1,12,4,1,TRUE,FALSE,4EDY,4EDY,X,16X,NO,NO,YES,PP1,NONE,NO,,NO
12-4-2,12,4,2,TRUE,FALSE,4EDY,4EDY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
12-5-1,12,5,1,FALSE,FALSE,5EDN,5EDN,X,16X,NO,YES,YES,OBJ,NONE,NO,,NO
12-5-2,12,5,2,FALSE,FALSE,5EDN,5EDN,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO
12-6-1,12,6,1,TRUE,FALSE,6EDY,6EDY,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO
12-6-2,12,6,2,TRUE,FALSE,6EDY,6EDY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
12-7-1,12,7,1,TRUE,TRUE,7EQY,7EQY,X,16X,NO,NO,YES,PP1,NONE,NO,,YES
12-7-2,12,7,2,TRUE,TRUE,7EQY,7EQY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES
12-8-1,12,8,1,TRUE,TRUE,8EQY,8EQY,X,16X,NO,NO,YES,PP1,NONE,NO,,YES
12-8-2,12,8,2,TRUE,TRUE,8EQY,8EQY,Y,16X,NO,YES,YES,PP1,OBJ,YES,PP2,YES
12-9-1,12,9,1,FALSE,TRUE,9EQN,9EQN,X,16X,NO,YES,NO,OBJ,NONE,NO,,YES
12-9-2,12,9,2,FALSE,TRUE,9EQN,9EQN,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES
13-1-1,13,1,1,FALSE,FALSE,1EDN,13.1EDN_X,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO
13-1-2,13,1,2,FALSE,FALSE,1EDN,13.1EDN_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO
13-10-1,13,10,1,FALSE,TRUE,10EQN,13.10EQN_X,X,16X,YES,NO,YES,PP1,V,NO,,YES
13-10-2,13,10,2,FALSE,TRUE,10EQN,13.10EQN_Y,Y,16X,NO,NO,YES,PP1,NONE,NO,,YES
13-11-1,13,11,1,TRUE,FALSE,11EDY,13.11EDY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,NO
13-11-2,13,11,2,TRUE,FALSE,11EDY,13.11EDY_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
13-12-1,13,12,1,FALSE,FALSE,12EDN,13.12EDN_X,X,16X,NO,NO,YES,PP1,NONE,NO,,NO
13-12-2,13,12,2,FALSE,FALSE,12EDN,13.12EDN_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
13-13-1,13,13,1,TRUE,FALSE,13EDY,13.13EDY_X,X,16X,NO,YES,YES,NONE,NONE,NO,,NO
13-13-2,13,13,2,TRUE,FALSE,13EDY,13.13EDY_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
13-14-1,13,14,1,TRUE,TRUE,14EQY,13.14EQY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,YES
13-14-2,13,14,2,TRUE,TRUE,14EQY,13.14EQY_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES
13-15-1,13,15,1,FALSE,FALSE,15EDN,13.15EDN_X,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO
13-15-2,13,15,2,FALSE,FALSE,15EDN,13.15EDN_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO
13-16-1,13,16,1,TRUE,TRUE,16EQY,13.16EQY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,YES
13-16-2,13,16,2,TRUE,TRUE,16EQY,13.16EQY_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES
13-2-1,13,2,1,FALSE,TRUE,2EQN,13.2EQN_X,X,16X,NO,NO,YES,PP1,NONE,NO,START,YES
13-2-2,13,2,2,FALSE,TRUE,2EQN,13.2EQN_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES
13-3-1,13,3,1,FALSE,TRUE,3EQN,13.3EQN_X,X,16X,NO,YES,NO,OBJ,NONE,NO,,NO
13-3-2,13,3,2,FALSE,TRUE,3EQN,13.3EQN_Y,Y,16X,NO,YES,NO,OBJ,NONE,YES,PP2,YES
13-4-1,13,4,1,TRUE,TRUE,4EQY,13.4EQY_X,X,16X,NO,YES,YES,PP1,OBJ,YES,PP2,NO
13-4-2,13,4,2,TRUE,TRUE,4EQY,13.4EQY_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES
13-5-1,13,5,1,FALSE,TRUE,5EQN,13.5EQN_X,X,16X,NO,YES,NO,OBJ,NONE,NO,,YES
13-5-2,13,5,2,FALSE,TRUE,5EQN,13.5EQN_Y,Y,16X,NO,YES,NO,OBJ,NONE,NO,,YES
