Filename,Leading,Trailing,Length,isFiller,Condition_Q,Condition_GP,Participant,Item
10.36FQN_r2.wav,5760,1628,10658,True,True,False,10,36
10.32FDY_r2.wav,6120,1511,11111,True,False,True,10,32
10.2EDY_r1.wav,990,1688,7029,False,False,True,10,2
10.41FDN_r1.wav,1200,1519,6349,True,False,False,10,41
10.6EDN_r1.wav,840,1469,5669,False,False,False,10,6
10.13EQN_r2.wav,1020,1278,12018,False,True,False,10,13
10.26FQY_r1.wav,810,1306,5896,True,True,True,10,26
10.36FQN_r1.wav,900,1419,6009,True,True,False,10,36
10.32FDY_r1.wav,1830,1228,6689,True,False,True,10,32
10.2EDY_r2.wav,7680,1569,13719,False,False,True,10,2
10.41FDN_r2.wav,5550,2248,11338,True,False,False,10,41
10.6EDN_r2.wav,6870,1061,11111,False,False,False,10,6
10.20FQY_r2.wav,5970,597,10317,True,True,True,10,20
10.9EQY_r2.wav,7680,1148,12698,False,True,True,10,9
10.47FDN_r1.wav,1020,1096,5896,True,False,False,10,47
10.18FQY_r1.wav,870,1243,6463,True,True,True,10,18
10.20FQY_r1.wav,1350,2159,7710,True,True,True,10,20
10.9EQY_r1.wav,1050,1979,6689,False,True,True,10,9
10.47FDN_r2.wav,6570,1074,10884,True,False,False,10,47
10.18FQY_r2.wav,8970,909,13719,True,True,True,10,18
19.46FQN_r2.wav,9539,1086,14286,True,True,False,19,46
19.8EDN_r1.wav,900,1416,6576,False,False,False,19,8
19.21FDY_r1.wav,1140,1296,6576,True,False,True,19,21
19.1EDY_r2.wav,20700,2770,27551,False,False,True,19,1
19.10EQY_r2.wav,34200,3646,41837,False,True,True,19,10
19.14EQN_r2.wav,14399,1355,19955,False,True,False,19,14
19.19FDY_r2.wav,14879,838,19048,True,False,True,19,19
19.46FQN_r1.wav,840,1722,7483,True,True,False,19,46
19.8EDN_r2.wav,6810,985,11905,False,False,False,19,8
19.21FDY_r2.wav,21330,3114,28345,True,False,True,19,21
19.1EDY_r1.wav,990,1576,6916,False,False,True,19,1
19.10EQY_r1.wav,1260,1562,7143,False,True,True,19,10
19.14EQN_r1.wav,810,1469,6689,False,True,False,19,14
19.19FDY_r1.wav,750,1089,6009,True,False,True,19,19
19.37FQN_r1.wav,840,1566,6576,True,True,False,19,37
19.40FQN_r2.wav,17819,1535,24036,True,True,False,19,40
19.27FDY_r1.wav,810,3187,8617,True,False,True,19,27
19.37FQN_r2.wav,9959,1279,15079,True,True,False,19,37
19.40FQN_r1.wav,630,1645,7256,True,True,False,19,40
19.27FDY_r2.wav,13979,1338,19728,True,False,True,19,27
19.20FDY_r1.wav,930,1215,6916,True,False,True,19,20
19.4EQN_r2.wav,22080,2067,28798,False,True,False,19,4
19.47FQN_r2.wav,12959,674,17234,True,True,False,19,47
19.18FDY_r2.wav,8250,532,12472,True,False,True,19,18
19.20FDY_r2.wav,13439,1098,20748,True,False,True,19,20
19.4EQN_r1.wav,900,1245,6916,False,True,False,19,4
19.47FQN_r1.wav,870,1609,6349,True,True,False,19,47
19.18FDY_r1.wav,720,1478,7029,True,False,True,19,18
19.13EDN_r2.wav,8040,1793,15533,False,False,False,19,13
19.36FDN_r1.wav,660,1466,6236,True,False,False,19,36
19.32FQY_r1.wav,720,1269,6009,True,True,True,19,32
19.26FDY_r1.wav,990,2092,7823,True,False,True,19,26
19.41FQN_r2.wav,11339,1477,16327,True,True,False,19,41
19.13EDN_r1.wav,630,1462,6803,False,False,False,19,13
19.36FDN_r2.wav,7320,1362,12132,True,False,False,19,36
19.32FQY_r2.wav,8940,662,13832,True,True,True,19,32
19.26FDY_r2.wav,22920,1224,29365,True,False,True,19,26
19.41FQN_r1.wav,900,1493,6803,True,True,False,19,41
19.16EQN_r2.wav,16199,902,20522,False,True,False,19,16
19.12EDY_r2.wav,6690,762,12132,False,False,True,19,12
19.7EDN_r2.wav,11729,2941,18481,False,False,False,19,7
19.3EQY_r2.wav,12779,1420,17800,False,True,True,19,3
19.33FQN_r1.wav,720,1989,7029,True,True,False,19,33
19.44FDN_r2.wav,11249,773,16553,True,False,False,19,44
19.23FDY_r1.wav,720,1149,6009,True,False,True,19,23
19.16EQN_r1.wav,870,1519,6349,False,True,False,19,16
19.12EDY_r1.wav,720,1222,6803,False,False,True,19,12
19.7EDN_r1.wav,1200,2869,8390,False,False,False,19,7
19.3EQY_r1.wav,780,1123,6463,False,True,True,19,3
19.33FQN_r2.wav,16949,1011,22222,True,True,False,19,33
19.44FDN_r1.wav,870,481,6122,True,False,False,19,44
19.23FDY_r2.wav,8370,979,13039,True,False,True,19,23
19.35FQN_r1.wav,720,1139,5669,True,True,False,19,35
19.38FQN_r2.wav,11369,3851,19841,True,True,False,19,38
19.25FQY_r1.wav,840,1715,7596,True,True,True,19,25
19.42FQN_r2.wav,16109,1309,23810,True,True,False,19,42
19.5EQY_r2.wav,30990,1974,37075,False,True,True,19,5
19.31FQY_r1.wav,1140,1412,7143,True,True,True,19,31
19.28FDY_r2.wav,8520,2963,15533,True,False,True,19,28
19.35FQN_r2.wav,NA,NA,1814,True,True,False,19,35
19.38FQN_r1.wav,720,1395,6916,True,True,False,19,38
19.25FQY_r2.wav,15479,841,21542,True,True,True,19,25
19.42FQN_r1.wav,750,1435,7256,True,True,False,19,42
19.5EQY_r1.wav,750,505,6236,False,True,True,19,5
19.31FQY_r2.wav,29550,2780,36621,True,True,True,19,31
19.28FDY_r1.wav,810,419,5669,True,False,True,19,28
19.17FDY_r1.wav,720,358,5669,True,False,True,19,17
19.6EQN_r2.wav,8940,782,13832,False,True,False,19,6
19.45FDN_r2.wav,11939,690,16440,True,False,False,19,45
19.22FDY_r1.wav,990,1765,7256,True,False,True,19,22
19.48FQN_r1.wav,840,2906,8277,True,True,False,19,48
19.2EQY_r2.wav,15659,1772,21542,False,True,True,19,2
19.17FDY_r2.wav,9149,2173,15193,True,False,True,19,17
