Filename;Leading;Trailing;Length;isFiller;Condition_Q;Condition_GP;Participant;Item;SP_Leading;SP_Trailing
204.23FQY_r2.wav; 4379;NA; 8390;TRUE;TRUE;TRUE;204;23; 4379;NA
204.44FQN_r1.wav;  600;NA; 5328;TRUE;TRUE;FALSE;204;44;  600;    0
204.33FDN_r1.wav;  600;NA; 4308;TRUE;FALSE;FALSE;204;33;  600;    0
204.23FQY_r1.wav; 1050;NA; 6009;TRUE;TRUE;TRUE;204;23; 1050;    0
204.44FQN_r2.wav; 2789;NA;10430;TRUE;TRUE;FALSE;204;44; 2789;NA
204.14EDY_r1.wav;  660;NA; 6235;FALSE;FALSE;TRUE;204;14;  660;    0
204.10EDN_r1.wav;  630;  286; 6916;FALSE;FALSE;FALSE;204;10;  630;  286
204.38FDN_r1.wav;  990; 1182; 6462;TRUE;FALSE;FALSE;204;38;  990; 1182
204.35FDN_r2.wav; 2369;  623; 8843;TRUE;FALSE;FALSE;204;35; 2369;  623
204.42FDN_r1.wav;  960;  412; 5782;TRUE;FALSE;FALSE;204;42;  960;  412
204.25FDY_r2.wav; 5159;NA; 9863;TRUE;FALSE;TRUE;204;25; 5159;NA
204.31FDY_r2.wav; 6540;  408;12018;TRUE;FALSE;TRUE;204;31; 6540;  408
204.4EDY_r1.wav;  450;NA; 5668;FALSE;FALSE;TRUE;204;4;  450;    0
204.28FQY_r1.wav;  900;  939; 6009;TRUE;TRUE;TRUE;204;28;  900;  939
204.14EDY_r2.wav; 5189;NA;10090;FALSE;FALSE;TRUE;204;14; 5189;NA
204.10EDN_r2.wav; 2639;NA;11337;FALSE;FALSE;FALSE;204;10; 2639;NA
204.38FDN_r2.wav; 3899;  427; 9637;TRUE;FALSE;FALSE;204;38; 3899;  427
204.35FDN_r1.wav;  720;  578; 4988;TRUE;FALSE;FALSE;204;35;  720;  578
204.42FDN_r2.wav; 4229;  987; 9297;TRUE;FALSE;FALSE;204;42; 4229;  987
204.25FDY_r1.wav;  690;  485; 5555;TRUE;FALSE;TRUE;204;25;  690;  485
204.31FDY_r1.wav;  540;  955; 5215;TRUE;FALSE;TRUE;204;31;  540;  955
204.4EDY_r2.wav; 6480;NA;12358;FALSE;FALSE;TRUE;204;4; 6480;NA
204.28FQY_r2.wav; 5670;NA;11224;TRUE;TRUE;TRUE;204;28; 5670;NA
204.22FQY_r2.wav;  330;  323; 7823;TRUE;TRUE;TRUE;204;22;  330;  323
204.45FQN_r1.wav;  660;  798; 5328;TRUE;TRUE;FALSE;204;45;  660;  798
204.48FDN_r2.wav; 4829; 1640;10430;TRUE;FALSE;FALSE;204;48; 4829; 1640
204.13EQY_r1.wav;  930;  725; 6575;FALSE;TRUE;TRUE;204;13;  930;  725
204.17FQY_r2.wav; 4379;NA; 8390;TRUE;TRUE;TRUE;204;17; 4379;NA
204.22FQY_r1.wav;  570; 1052; 6122;TRUE;TRUE;TRUE;204;22;  570; 1052
204.45FQN_r2.wav; 4349;NA;10430;TRUE;TRUE;FALSE;204;45; 4349;NA
204.48FDN_r1.wav;  810;  872; 6122;TRUE;FALSE;FALSE;204;48;  810;  872
204.13EQY_r2.wav; 4649;  676; 8956;FALSE;TRUE;TRUE;204;13; 4649;  676
204.17FQY_r1.wav; 1020;  362; 6122;TRUE;TRUE;TRUE;204;17; 1020;  362
204.1EQN_r1.wav;  870;  258; 5328;FALSE;TRUE;FALSE;204;1;  870;  258
204.34FQN_r2.wav; 6150;NA;10657;TRUE;TRUE;FALSE;204;34; 6150;NA
204.30FDY_r2.wav; 5700;NA;10770;TRUE;FALSE;TRUE;204;30; 5700;NA
204.24FQY_r2.wav; 5490;NA;10884;TRUE;TRUE;TRUE;204;24; 5490;NA
204.29FQY_r1.wav;  900;  208; 5668;TRUE;TRUE;TRUE;204;29;  900;  208
204.39FDN_r1.wav;  930;  455; 5555;TRUE;FALSE;FALSE;204;39;  930;  455
204.8EQY_r2.wav;  930;NA; 8730;FALSE;TRUE;TRUE;204;8;  930;NA
204.43FDN_r1.wav;  720;  482; 5102;TRUE;FALSE;FALSE;204;43;  720;  482
204.1EQN_r2.wav; 5940;NA;11564;FALSE;TRUE;FALSE;204;1; 5940;NA
204.34FQN_r1.wav;  780;  598; 5668;TRUE;TRUE;FALSE;204;34;  780;  598
204.30FDY_r1.wav;  660; 1102; 5782;TRUE;FALSE;TRUE;204;30;  660; 1102
204.24FQY_r1.wav;  600; 1735; 6235;TRUE;TRUE;TRUE;204;24;  600; 1735
204.29FQY_r2.wav; 5189;NA;11337;TRUE;TRUE;TRUE;204;29; 5189;NA
204.39FDN_r2.wav; 3689;  980; 8390;TRUE;FALSE;FALSE;204;39; 3689;  980
204.8EQY_r1.wav; 1050;NA; 6802;FALSE;TRUE;TRUE;204;8; 1050;    0
204.43FDN_r2.wav; 5279;  833; 9863;TRUE;FALSE;FALSE;204;43; 5279;  833
203.19FDY_r1.wav;  600;NA; 3061;TRUE;FALSE;TRUE;203;19;  600;    0
203.14EQN_r1.wav;NA;NA; 3401;FALSE;TRUE;FALSE;203;14;NA;    0
203.10EQY_r1.wav;  660;NA; 3514;FALSE;TRUE;TRUE;203;10;  660;    0
203.21FDY_r2.wav; 1680;NA; 4988;TRUE;FALSE;TRUE;203;21; 1680;NA
203.5EQY_r2.wav; 1980;NA; 5102;FALSE;TRUE;TRUE;203;5; 1980;NA
203.46FQN_r1.wav;  810;NA; 3514;TRUE;TRUE;FALSE;203;46;  810;    0
203.19FDY_r2.wav;NA;NA; 4761;TRUE;FALSE;TRUE;203;19;    0;NA
203.14EQN_r2.wav; 2429;NA; 5555;FALSE;TRUE;FALSE;203;14; 2429;NA
203.10EQY_r2.wav;  690;NA; 6575;FALSE;TRUE;TRUE;203;10;  690;NA
203.21FDY_r1.wav;  510;  728; 3968;TRUE;FALSE;TRUE;203;21;  510;  728
203.5EQY_r1.wav; 1260;NA; 3741;FALSE;TRUE;TRUE;203;5; 1260;    0
203.46FQN_r2.wav; 2309;  279; 6009;TRUE;TRUE;FALSE;203;46; 2309;  279
203.27FDY_r2.wav;NA;NA; 5442;TRUE;FALSE;TRUE;203;27;    0;NA
203.40FQN_r1.wav;  750;NA; 3287;TRUE;TRUE;FALSE;203;40;  750;    0
203.7EDN_r2.wav;  660;NA; 5328;FALSE;FALSE;FALSE;203;7;  660;NA
203.3EQY_r2.wav; 3509;  246; 8616;FALSE;TRUE;TRUE;203;3; 3509;  246
203.37FQN_r2.wav; 1200;NA; 3854;TRUE;TRUE;FALSE;203;37; 1200;NA
203.27FDY_r1.wav;  510;NA; 3741;TRUE;FALSE;TRUE;203;27;  510;    0
203.40FQN_r2.wav; 4319;  213; 8163;TRUE;TRUE;FALSE;203;40; 4319;  213
203.7EDN_r1.wav;  420;NA; 2947;FALSE;FALSE;FALSE;203;7;  420;    0
203.3EQY_r1.wav; 1080;NA; 3741;FALSE;TRUE;TRUE;203;3; 1080;    0
203.37FQN_r1.wav;  870;NA; 3061;TRUE;TRUE;FALSE;203;37;  870;    0
203.18FDY_r1.wav;  810;NA; 2834;TRUE;FALSE;TRUE;203;18;  810;    0
203.47FQN_r1.wav;  660;NA; 2607;TRUE;TRUE;FALSE;203;47;  660;    0
203.9EDY_r1.wav; 1440;NA; 4875;FALSE;FALSE;TRUE;203;9; 1440;    0
203.20FDY_r2.wav; 1650;NA; 4988;TRUE;FALSE;TRUE;203;20; 1650;NA
203.18FDY_r2.wav; 1410;NA; 4875;TRUE;FALSE;TRUE;203;18; 1410;NA
203.47FQN_r2.wav; 1500;NA; 4195;TRUE;TRUE;FALSE;203;47; 1500;NA
203.9EDY_r2.wav; 2130;NA; 5442;FALSE;FALSE;TRUE;203;9; 2130;NA
203.20FDY_r1.wav;  600;NA; 3287;TRUE;FALSE;TRUE;203;20;  600;    0
203.41FQN_r1.wav;  870;NA; 3514;TRUE;TRUE;FALSE;203;41;  870;    0
203.2EQY_r2.wav; 2100;NA; 5895;FALSE;TRUE;TRUE;203;2; 2100;NA
203.26FDY_r2.wav; 1320;NA; 5442;TRUE;FALSE;TRUE;203;26; 1320;NA
203.32FQY_r2.wav; 3089;  432; 7483;TRUE;TRUE;TRUE;203;32; 3089;  432
203.36FDN_r2.wav; 1710;NA; 4535;TRUE;FALSE;FALSE;203;36; 1710;NA
203.6EQN_r2.wav; 1560;NA; 4988;FALSE;TRUE;FALSE;203;6; 1560;NA
203.13EDN_r1.wav;  780;  505; 4195;FALSE;FALSE;FALSE;203;13;  780;  505
203.41FQN_r2.wav; 1350;NA; 5895;TRUE;TRUE;FALSE;203;41; 1350;NA
203.2EQY_r1.wav;  690;NA; 4081;FALSE;TRUE;TRUE;203;2;  690;    0
203.26FDY_r1.wav;  780;NA; 4195;TRUE;FALSE;TRUE;203;26;  780;    0
203.32FQY_r1.wav;  720;NA; 3061;TRUE;TRUE;TRUE;203;32;  720;    0
203.36FDN_r1.wav;  600;NA; 2267;TRUE;FALSE;FALSE;203;36;  600;    0
203.6EQN_r1.wav;  600;NA; 3401;FALSE;TRUE;FALSE;203;6;  600;    0
203.13EDN_r2.wav; 1260;NA; 4875;FALSE;FALSE;FALSE;203;13; 1260;NA
203.44FDN_r1.wav;NA;  268; 4648;TRUE;FALSE;FALSE;203;44;NA;  268
203.23FDY_r2.wav; 2819;NA; 5668;TRUE;FALSE;TRUE;203;23; 2819;NA
203.33FQN_r2.wav;NA;NA; 5668;TRUE;TRUE;FALSE;203;33;    0;NA
203.12EDY_r1.wav;  810;NA; 3174;FALSE;FALSE;TRUE;203;12;  810;    0
203.16EQN_r1.wav;  240;NA; 3514;FALSE;TRUE;FALSE;203;16;  240;    0
203.44FDN_r2.wav; 4229;NA; 8616;TRUE;FALSE;FALSE;203;44; 4229;NA
203.23FDY_r1.wav;NA;NA; 2721;TRUE;FALSE;TRUE;203;23;NA;    0
