UID;ADDR-dr;SID-dr;ITEM-dr;BSID-dr;IID-dr;XY-dr;FIRST-dr;V-dr;OBJ-dr;PP1-dr;STRONG-dr;WEAK-dr;STRUG-dr;STRUG_START-dr;QI-dr;COMMENT-dr;ADDR-sp;SID-sp;ITEM-sp;BSID-sp;IID-sp;XY-sp;FIRST-sp;V-sp;OBJ-sp;PP1-sp;STRONG-sp;WEAK-sp;STRUG-sp;STRUG_START-sp;QI-sp;COMMENT-sp;X18;Participant;STRONG;OBJ;Condition_GP;V;WEAK;STRUG_START;two_level_prosody;IID;PP1;XY;Condition_Q;QI;SID;REC_CLEAN;REC;Reading;STRUG;prosody;FIRST;pair;condition;pdom;odom;simple2lvl;ID;Order;LIST;pattern-dr;pattern-sp;pattern
203-3-1;203.3Y;203;3EDY;B3; 3;Y;1X;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;203.3Y;203;3EDY;B3; 3;Y;NONE;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;203;PP1;NO;TRUE;NO;NONE;NONE;PP1; 3;YES;Y;TRUE;YES;203;3EQY;3EQY;1;NO;PP1;16X;203-3;Q +GP;TRUE;FALSE;PP1;203-3;1;3;PP1;PP1;PP1
203-3-2;203.3X;203;3EDY;B3; 3;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;203.3X;203;3EDY;B3; 3;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;203;PP1;NO;TRUE;NO;NONE;NONE;PP1; 3;YES;X;TRUE;YES;203;3EQY;3EQY;2;NO;PP1;16X;203-3;Q +GP;TRUE;FALSE;PP1;203-3;1;3;PP1 > OBJ;PP1 > OBJ;PP1
203-5-1;203.5Y;203;5EDY;B3; 5;Y;1X;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;203.5Y;203;5EDY;B3; 5;Y;NONE;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;203;PP1;NO;TRUE;NO;NONE;NONE;PP1; 5;YES;Y;TRUE;YES;203;5EQY;5EQY;1;NO;PP1;16X;203-5;Q +GP;TRUE;FALSE;PP1;203-5;1;3;PP1;PP1;PP1
203-5-2;203.5X;203;5EDY;B3; 5;X;1X;NO;YES;YES;NONE;NONE;NO;NONE;YES;NONE;203.5X;203;5EDY;B3; 5;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;203;PP1;NO;TRUE;NO;NONE;NONE;PP1; 5;YES;X;TRUE;YES;203;5EQY;5EQY;2;NO;PP1;16X;203-5;Q +GP;TRUE;FALSE;PP1;203-5;1;3;BOTH;PP1 > OBJ;PP1
203-7-1;203.7Y;203;7EQN;B3; 7;Y;1X;NO;YES;YES;PP1;OBJ;YES;PP2;NO;NONE;203.7Y;203;7EQN;B3; 7;Y;NONE;NO;NO;YES;PP1;NONE;YES;PP2;NO;NONE;NONE;203;PP1;YES;FALSE;NO;OBJ;NONE;PP1 > OBJ; 7;YES;Y;FALSE;NO;203;7EDN;7EDN;1;NO;PP1 > OBJ;16X;203-7;D -GP;TRUE;FALSE;BOTH;203-7;1;3;PP1 > OBJ;PP1;PP1 > OBJ
203-7-2;203.7X;203;7EQN;B3; 7;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;203.7X;203;7EQN;B3; 7;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;203;NONE;NO;FALSE;NO;NONE;NONE;NONE; 7;NO;X;FALSE;NO;203;7EDN;7EDN;2;NO;NONE;16X;203-7;D -GP;FALSE;FALSE;NEITHER;203-7;1;3;PP1 > OBJ;PP1 > OBJ;NONE
203-9-1;203.9Y;203;9EQY;B3; 9;Y;1X;YES;NO;YES;PP1;V;YES;START;NO;NONE;203.9Y;203;9EQY;B3; 9;Y;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;203;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 9;YES;Y;FALSE;NO;203;9EDY;9EDY;1;NO;PP1 > OBJ;16X;203-9;D +GP;TRUE;FALSE;BOTH;203-9;1;3;PP1;PP1 > OBJ;PP1 > OBJ
203-9-2;203.9X;203;9EQY;B3; 9;X;1X;YES;YES;YES;OBJ;V;NO;NONE;NO;NONE;203.9X;203;9EQY;B3; 9;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;203;PP1;NO;TRUE;NO;OBJ;NONE;PP1 > OBJ; 9;YES;X;FALSE;NO;203;9EDY;9EDY;2;NO;PP1 > OBJ;16X;203-9;D +GP;TRUE;FALSE;PP1;203-9;1;3;OBJ > PP1;PP1 > OBJ;PP1
208-10-1;208.10Y;208;10EQY;B8;10;Y;1X;YES;YES;YES;V;PP1;NO;NONE;NO;NONE;208.10Y;208;10EQY;B8;10;Y;16Y;YES;NO;YES;PP1;V;NO;NONE;NO;NONE;NONE;208;OBJ;YES;FALSE;YES;V;NONE;OBJ;10;NO;Y;FALSE;NO;208;10EDN;10EDN;1;NO;OBJ > V;1X;208-10;D -GP;FALSE;TRUE;OBJ;208-10;2;4;OBJ > PP1;PP1;OBJ
208-10-2;208.10X;208;10EQY;B8;10;X;1X;YES;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;208.10X;208;10EQY;B8;10;X;16Y;YES;YES;YES;PP1;V;NO;NONE;NO;NONE;NONE;208;OBJ;YES;FALSE;YES;PP1;NONE;OBJ > PP1;10;YES;X;FALSE;NO;208;10EDN;10EDN;2;NO;OBJ > V PP1;1X;208-10;D -GP;FALSE;TRUE;BOTH;208-10;2;4;OBJ > PP1;PP1 > OBJ;OBJ > PP1
