STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST,pair,condition,pdom,odom,simple2lvl,ID
PP1,TRUE,10-7-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,7,TRUE,Y,TRUE,YES,10,7EQN,7EQN,2,FALSE,PP1 > OBJ,1X,10-7,Q -GP,TRUE,FALSE,BOTH,10-7
OBJ,TRUE,10-8-1,FALSE,FALSE,PP1,NA,OBJ > PP1,8,TRUE,X,TRUE,YES,10,8EQN,8EQN,1,FALSE,OBJ > PP1,1X,10-8,Q -GP,FALSE,TRUE,BOTH,10-8
PP1,TRUE,10-8-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,8,TRUE,Y,TRUE,YES,10,8EQN,8EQN,2,FALSE,PP1 > OBJ,1X,10-8,Q -GP,TRUE,FALSE,BOTH,10-8
PP1,TRUE,10-9-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,9,TRUE,X,TRUE,YES,10,9EQY,9EQY,1,FALSE,PP1 > OBJ,1X,10-9,Q +GP,TRUE,FALSE,BOTH,10-9
PP1,TRUE,10-9-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,9,TRUE,Y,TRUE,YES,10,9EQY,9EQY,2,FALSE,PP1 > OBJ,1X,10-9,Q +GP,TRUE,FALSE,BOTH,10-9
PP1,FALSE,11-1-1,TRUE,FALSE,NONE,NA,PP1,1,TRUE,X,FALSE,NO,11,1EDY,11.1EDY_X,1,FALSE,PP1,1Y,11-1,D +GP,TRUE,FALSE,PP1,11-1
PP1,TRUE,11-1-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,1,TRUE,Y,FALSE,NO,11,1EDY,11.1EDY_Y,2,FALSE,PP1 > OBJ,1Y,11-1,D +GP,TRUE,FALSE,BOTH,11-1
PP1,FALSE,11-10-1,TRUE,FALSE,NONE,NA,PP1,10,TRUE,X,TRUE,NO,11,10EQY,11.10EQY_X,1,FALSE,PP1,1Y,11-10,Q +GP,TRUE,FALSE,PP1,11-10
PP1,FALSE,11-10-2,TRUE,FALSE,NONE,NA,PP1,10,TRUE,Y,TRUE,NO,11,10EQY,11.10EQY_Y,2,FALSE,PP1,1Y,11-10,Q +GP,TRUE,FALSE,PP1,11-10
PP1,TRUE,11-11-1,FALSE,FALSE,OBJ,NA,PP1 > OBJ,11,TRUE,X,FALSE,NO,11,11EDN,11.11EDN_X,1,FALSE,PP1 > OBJ,1Y,11-11,D -GP,TRUE,FALSE,BOTH,11-11
OBJ,TRUE,11-11-2,FALSE,FALSE,PP1,NA,OBJ > PP1,11,TRUE,Y,FALSE,NO,11,11EDN,11.11EDN_Y,2,FALSE,OBJ > PP1,1Y,11-11,D -GP,FALSE,TRUE,BOTH,11-11
OBJ,TRUE,11-15-1,TRUE,FALSE,PP1,NA,OBJ > PP1,15,TRUE,X,FALSE,NO,11,15EDY,11.15EDY_X,1,FALSE,OBJ > PP1,1Y,11-15,D +GP,FALSE,TRUE,BOTH,11-15
OBJ,TRUE,11-15-2,TRUE,FALSE,PP1,NA,OBJ > PP1,15,TRUE,Y,FALSE,NO,11,15EDY,11.15EDY_Y,2,FALSE,OBJ > PP1,1Y,11-15,D +GP,FALSE,TRUE,BOTH,11-15
V,FALSE,11-16-1,FALSE,TRUE,PP1,NA,PP1,16,TRUE,X,TRUE,YES,11,16EQN,11.16EQN_X,1,FALSE,V > PP1,1Y,11-16,Q -GP,TRUE,FALSE,PP1,11-16
PP1,FALSE,11-16-2,FALSE,FALSE,NONE,NA,PP1,16,TRUE,Y,TRUE,YES,11,16EQN,11.16EQN_Y,2,FALSE,PP1,1Y,11-16,Q -GP,TRUE,FALSE,PP1,11-16
PP1,FALSE,11-3-1,TRUE,FALSE,NONE,NA,PP1,3,TRUE,X,TRUE,YES,11,3EQY,11.3EQY_X,1,FALSE,PP1,1Y,11-3,Q +GP,TRUE,FALSE,PP1,11-3
PP1,TRUE,11-3-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,3,TRUE,Y,TRUE,YES,11,3EQY,11.3EQY_Y,2,FALSE,PP1 > OBJ,1Y,11-3,Q +GP,TRUE,FALSE,BOTH,11-3
OBJ,TRUE,11-4-1,FALSE,FALSE,PP1,NA,OBJ > PP1,4,TRUE,X,TRUE,YES,11,4EQN,11.4EQN_X,1,FALSE,OBJ > PP1,1Y,11-4,Q -GP,FALSE,TRUE,BOTH,11-4
PP1,FALSE,11-4-2,FALSE,FALSE,NONE,NA,PP1,4,TRUE,Y,TRUE,YES,11,4EQN,11.4EQN_Y,2,FALSE,PP1,1Y,11-4,Q -GP,TRUE,FALSE,PP1,11-4
PP1,FALSE,11-5-1,TRUE,FALSE,NONE,NA,PP1,5,TRUE,X,TRUE,YES,11,5EQY,11.5EQY_X,1,FALSE,PP1,1Y,11-5,Q +GP,TRUE,FALSE,PP1,11-5
PP1,TRUE,11-5-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,5,TRUE,Y,TRUE,YES,11,5EQY,11.5EQY_Y,2,FALSE,PP1 > OBJ,1Y,11-5,Q +GP,TRUE,FALSE,BOTH,11-5
NONE,TRUE,11-6-1,FALSE,FALSE,NONE,NA,OBJ PP1,6,TRUE,X,TRUE,YES,11,6EQN,11.6EQN_X,1,FALSE,OBJ PP1,1Y,11-6,Q -GP,FALSE,FALSE,BOTH,11-6
OBJ,TRUE,11-6-2,FALSE,TRUE,V,NA,OBJ,6,FALSE,Y,TRUE,YES,11,6EQN,11.6EQN_Y,2,FALSE,OBJ > V,1Y,11-6,Q -GP,FALSE,TRUE,OBJ,11-6
OBJ,TRUE,11-7-1,FALSE,FALSE,NONE,PP1,OBJ,7,FALSE,X,FALSE,NO,11,7EDN,11.7EDN_X,1,TRUE,OBJ,1Y,11-7,D -GP,FALSE,TRUE,OBJ,11-7
OBJ,TRUE,11-7-2,FALSE,FALSE,NONE,NA,OBJ,7,FALSE,Y,FALSE,NO,11,7EDN,11.7EDN_Y,2,FALSE,OBJ,1Y,11-7,D -GP,FALSE,TRUE,OBJ,11-7
OBJ,TRUE,11-8-1,FALSE,FALSE,PP1,NA,OBJ > PP1,8,TRUE,X,FALSE,NO,11,8EDN,11.8EDN_X,1,FALSE,OBJ > PP1,1Y,11-8,D -GP,FALSE,TRUE,BOTH,11-8
PP1,TRUE,11-8-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,8,TRUE,Y,FALSE,NO,11,8EDN,11.8EDN_Y,2,FALSE,PP1 > OBJ,1Y,11-8,D -GP,TRUE,FALSE,BOTH,11-8
OBJ,TRUE,12-1-1,FALSE,FALSE,NONE,NA,OBJ,1,FALSE,X,TRUE,YES,12,1EQN,1EQN,1,FALSE,OBJ,16X,12-1,Q -GP,FALSE,TRUE,OBJ,12-1
PP1,TRUE,12-1-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,1,TRUE,Y,TRUE,YES,12,1EQN,1EQN,2,FALSE,PP1 > OBJ,16X,12-1,Q -GP,TRUE,FALSE,BOTH,12-1
PP1,FALSE,12-10-1,FALSE,FALSE,NONE,NA,PP1,10,TRUE,X,FALSE,NO,12,10EDN,10EDN,1,FALSE,PP1,16X,12-10,D -GP,TRUE,FALSE,PP1,12-10
OBJ,TRUE,12-10-2,FALSE,FALSE,NONE,NA,OBJ,10,FALSE,Y,FALSE,NO,12,10EDN,10EDN,2,FALSE,OBJ,16X,12-10,D -GP,FALSE,TRUE,OBJ,12-10
